Item_Fat_Content,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Outlet_Sales_Log,Item_Outlet_Sales_Sqrt,Item_Outlet_Sales_Cbrt,Item_Outlet_Sales_4rt,Item_Outlet_Sales_ratio,Item_Type_Combined,Outlet
1,FDA15,249.8092,3735.138,Dairy,0.016047301,9.3,1999,OUT049,0,1,1,8.22554004467553,61.11577537755698,15.515611049489053,7.817657921497779,1.612627752820891,1,9
2,DRC01,48.2692,443.4228,Soft Drinks,0.019278216,5.92,2009,OUT018,2,1,2,6.094523716699177,21.057606701617352,7.625576342711593,4.588856796808694,0.22221151599043615,0,3
1,FDN15,141.618,2097.27,Meat,0.016760075,17.5,1999,OUT049,0,1,1,7.648391777978466,45.79596052055246,12.800240067112039,6.767271275821035,0.9054861713700191,1,9
2,FDX07,182.095,732.38,Fruits and Vegetables,0.0,19.2,1998,OUT010,2,2,0,6.596299504945249,27.06252020784465,9.013888023198483,5.202164953924918,2.1551459015503736,1,0
0,NCD19,53.8614,994.7052,Household,0.0,8.93,1987,OUT013,2,0,1,6.9024464118515505,31.538947350854944,9.982319424816104,5.615954714102932,0.42945915556406616,2,1
2,FDP36,51.4008,556.6088,Baking Goods,0.0,10.395,2009,OUT018,2,1,2,6.3218626592434894,23.592558148704434,8.225898683227074,4.857217119782112,0.27893217322523217,1,3
2,FDO10,57.6588,343.5528,Snack Foods,0.012741088999999999,13.65,1987,OUT013,2,0,1,5.8393408116403505,18.53517736629461,7.003758525782775,4.305249977213241,0.14832725854823167,1,1
1,FDP10,107.7622,4022.7636,Snack Foods,0.127469857,19.0,1985,OUT027,2,1,3,8.299724408105405,63.42525995216732,15.904066046070863,7.963997736825854,1.0889879835370004,1,5
2,FDH17,96.9726,1076.5986,Frozen Foods,0.016687114,16.2,2002,OUT045,1,2,1,6.981561905735894,32.81156198659247,10.249073404241823,5.7281377415869175,0.46481623463660976,1,7
2,FDU28,187.8214,4710.535,Frozen Foods,0.09444959,19.2,2007,OUT017,1,2,1,8.457556768670226,68.63333738060535,16.763192991981064,8.284523968255831,2.0337506864898045,1,2
1,FDY07,45.5402,1516.0266,Fruits and Vegetables,0.0,11.8,1999,OUT049,0,1,1,7.323848112222527,38.93618625392066,11.487766701403263,6.239886718035886,0.6545371467331852,1,9
2,FDA03,144.1102,2187.153,Dairy,0.045463773,18.5,1997,OUT046,0,2,1,7.690355977077498,46.76700760151327,12.980548820062495,6.838640771492042,0.9442927215715912,1,8
2,FDX32,145.4786,1589.2646,Fruits and Vegetables,0.1000135,15.1,1999,OUT049,0,1,1,7.371026672497617,39.86558164632745,11.669853478632474,6.3139196737310055,0.6861572987492811,1,9
2,FDS46,119.6782,2145.2076,Snack Foods,0.047257328,17.6,1997,OUT046,0,2,1,7.670991609895707,46.31638586936593,12.897031947408681,6.805614290375699,0.926182998144191,1,8
1,FDF32,196.4426,1977.4260000000002,Fruits and Vegetables,0.06802430000000001,16.35,1987,OUT013,2,0,1,7.5895512779555325,44.468258342327736,12.551628598774213,6.668452469825945,0.8537441044345895,1,1
2,FDP49,56.3614,1547.3192,Breakfast,0.06908896099999999,9.0,1997,OUT046,0,2,1,7.344279164130589,39.33597844213361,11.566269432809452,6.271840116116929,0.6680475753218806,1,8
0,NCB42,115.3492,1621.8888,Health and Hygiene,0.008596051,11.8,2009,OUT018,2,1,2,7.391346674988575,40.27268056635913,11.749165596398964,6.346075997524701,0.8127736530821359,2,3
2,FDP49,54.3614,718.3982,Breakfast,0.06919637599999999,9.0,1999,OUT049,0,1,1,6.577024011416922,26.8029513300308,8.956157970925656,5.177156683936734,0.3101649456851589,1,9
1,DRI11,113.2834,2303.6679999999997,Hard Drinks,0.034237682,8.26,1985,OUT027,2,1,3,7.742257914210557,47.99654154207363,13.207074567045007,6.927953633077637,0.6236177462823602,0,5
1,FDU02,230.5352,2748.4224,Dairy,0.10249212,13.35,2004,OUT035,1,2,1,7.918782353320186,52.42539842480932,14.00751705156555,7.240538545219501,1.1866180683858534,1,6
2,FDN22,250.8724,3775.086,Snack Foods,0.138190277,18.85,1987,OUT013,2,0,1,8.236178442880584,61.44172849131118,15.570729136001486,7.83847743450928,1.6298751084660341,1,1
2,FDW12,144.5444,4064.0432,Baking Goods,0.035399923,8.315,1985,OUT027,2,1,3,8.30993361912308,63.74984862727126,15.95828089766069,7.984350232002055,1.100162636794083,1,5
0,NCB30,196.5084,1587.2672,Household,0.025698133999999997,14.6,2004,OUT035,1,2,1,7.369769074344028,39.84052208493257,11.664962508454146,6.3119348923236345,0.6852949309670239,2,6
1,FDC37,107.6938,214.3876,Baking Goods,0.057556998,15.5,1985,OUT019,0,2,0,5.367785591703195,14.641980740323353,5.98503306656475,3.8264841225756254,0.6308699820902003,1,4
2,FDR28,165.021,4078.025,Frozen Foods,0.025896485,13.85,1997,OUT046,0,2,1,8.313368081571715,63.859415907131506,15.976560731393885,7.991208663721121,1.7606675554417037,1,8
0,NCD06,45.906000000000006,838.908,Household,0.099887103,13.0,2007,OUT017,1,2,1,6.732101046104312,28.963908576019225,9.431297519479898,5.3818127592865235,0.36219446854800763,2,2
2,FDV10,42.3112,1065.28,Snack Foods,0.06669343700000001,7.645,2004,OUT035,1,2,1,6.97099295438666,32.63862742212056,10.213029612972694,5.71302261697961,0.4599294838704858,1,6
1,DRJ59,39.1164,308.9312,Hard Drinks,0.019356131999999998,11.65,1987,OUT013,2,0,1,5.733118598385043,17.57643877467788,6.760112505859556,4.192426358885494,0.1333795503224409,0,1
2,FDE51,45.5086,178.4344,Dairy,0.161466534,5.925,1998,OUT010,2,2,0,5.184221026669644,13.357933971988333,5.629798637670907,3.6548507455145596,0.5250719105595456,1,0
2,FDC14,43.6454,125.8362,Canned,0.072221801,14.5,1985,OUT019,0,2,0,4.83498106121843,11.217673555599664,5.0111245637930075,3.349279557695903,0.3702932503572915,1,4
1,FDV38,55.7956,163.7868,Dairy,0.17034855100000001,19.25,1998,OUT010,2,2,0,5.09856558209115,12.797921706277156,5.471330707956464,3.577418301831246,0.4819689925285381,1,0
0,NCS17,96.4436,2741.7644,Health and Hygiene,0.080829372,18.6,2009,OUT018,2,1,2,7.916356933746522,52.36186016558235,13.99619692617933,7.2361495400235025,1.373974508781706,2,3
1,FDP33,256.6672,3068.0064,Snack Foods,0.0,18.7,2009,OUT018,2,1,2,8.028783248534515,55.38958746912636,14.530662659576524,7.442418119746186,1.5374634619878826,1,3
1,FDO23,93.1436,2174.5028,Breads,0.0,17.85,2002,OUT045,1,2,1,7.684555319689198,46.63156441724854,12.955474496994917,6.82873080573898,0.9388310589506293,1,7
1,DRH01,174.8738,2085.2856,Soft Drinks,0.097904029,17.5,1997,OUT046,0,2,1,7.642661103269481,45.66492746079862,12.775812068685052,6.757582959964208,0.9003119646764761,0,8
0,NCX29,146.7102,3791.0652,Health and Hygiene,0.08929113699999999,10.0,1999,OUT049,0,1,1,8.240402313996771,61.57162658237965,15.592667494195458,7.846758985873063,1.6367740507240915,2,9
2,FDV20,128.0678,2797.6916,Fruits and Vegetables,0.059511812000000004,20.2,1985,OUT027,2,1,3,7.936549927563734,52.89320939402335,14.09072306959672,7.272771782066543,0.7573531126816412,1,5
2,DRZ11,122.5388,1609.9044,Soft Drinks,0.113123893,8.85,2009,OUT018,2,1,2,7.383930077333526,40.12361399475376,11.720155192919092,6.33432032618763,0.8067679364337457,0,3
2,FDX10,36.9874,388.1614,Snack Foods,0.12311145300000001,6.384999999999999,1985,OUT027,2,1,3,5.96142123250928,19.70181209939837,7.2946442232218285,4.438672335214481,0.10507778788514917,1,5
